pmid,doi,year,title
16376255,10.1016/j.arth.2005.01.023,2005,Evaluation of a porous tantalum uncemented acetabular cup in revision total hip arthroplasty: clinical and radiological results of 60 hips.
15809945,10.1016/j.arth.2004.09.060,2005,Extended trochanteric osteotomy for 2-stage revision of infected total hip arthroplasty.
16139702,10.1016/j.arth.2004.11.007,2005,Total knee arthroplasty in patients with Paget's disease of bone at the knee.
15647728,10.1016/j.arth.2004.11.002,2005,The early innovators of today's resurfacing condylar knees.
15660053,10.1016/j.arth.2004.09.025,2005,Cementless porous-coated sockets without holes implanted with pure press-fit technique.
15660054,10.1016/j.arth.2004.07.008,2005,"Range of motion and stability in total hip arthroplasty with 28-, 32-, 38-, and 44-mm femoral head sizes."
15660055,10.1016/j.arth.2004.04.010,2005,Sensitivity and specificity of plain radiographs for detection of medial-wall perforation secondary to osteolysis.
15660056,10.1016/j.arth.2004.10.011,2005,The variability of intramedullary alignment of the femoral component during total knee arthroplasty.
15660057,10.1016/j.arth.2004.10.012,2005,The use of computer-assisted surgical navigation to prevent malalignment in unicompartmental knee arthroplasty.
15660058,10.1016/j.arth.2004.09.059,2005,Augments and allografts in revision total knee arthroplasty: usage and outcome using one modular revision prosthesis.
15660059,10.1016/j.arth.2004.03.022,2005,The effect of intraoperative heparin administered during total hip arthroplasty on the incidence of proximal deep vein thrombosis assessed by magnetic resonance venography.
15809946,10.1016/j.arth.2004.08.010,2005,Revision total knee arthroplasty with modular components inserted with metaphyseal cement and stems without cement.
15660060,10.1016/j.arth.2004.04.016,2005,The precision and usefulness of preoperative planning for cemented and hybrid primary total hip arthroplasty.
15902859,10.1016/j.arth.2004.08.001,2005,Polyethylene failure of the patellar component in New Jersey low-contact stress total knee arthroplasties.
15660063,10.1016/j.arth.2004.09.022,2005,Intramedullary compression arthrodesis of the knee: early experience with a new device and technique.
15660065,10.1016/j.arth.2004.08.006,2005,Analysis of 16 retrieved proximally cemented femoral stems.
15660066,10.1016/j.arth.2004.08.012,2005,Comparison between triple-tapered and double-tapered cemented femoral stems in total hip arthroplasty: a prospective study comparing the C-Stem versus the Exeter Universal early results after 5 years of clinical experience.
15660067,10.1016/j.arth.2004.09.033,2005,Retrieval study of tibial baseplate fracture after total knee arthroplasty.
15660068,10.1016/j.arth.2004.09.042,2005,Radiological findings and clinical results of 102 thrust-plate femoral hip prostheses: a follow-up of 2 to 8 years.
15660069,10.1016/j.arth.2004.03.021,2005,Outcome following stabilization of type B1 periprosthetic femoral fractures.
15660070,10.1016/j.arth.2004.04.014,2005,Bony ankylosis following total knee arthroplasty: a case report.
15660071,10.1016/j.arth.2004.02.031,2005,Ginkgo biloba: persistent bleeding after total hip arthroplasty caused by herbal self-medication.
15660072,10.1016/j.arth.2004.09.029,2005,Limb salvage and abductor reattachment using a custom prosthesis with porous tantalum components.
15660062,10.1016/j.arth.2004.09.055,2005,Efficacy of cementless total hip arthroplasty in patients on long-term hemodialysis.
15809947,10.1016/j.arth.2005.01.001,2005,Precoated femoral component with proximal and distal centralizers: results at 5 to 12 years.
15809948,10.1016/j.arth.2004.09.043,2005,"Cryo/Cuff compared to epidural anesthesia after knee unicompartmental arthroplasty: a prospective, randomized and controlled study of 60 patients with a 6-week follow-up."
15902858,10.1016/j.arth.2004.09.038,2005,Application of core biopsy in revision arthroplasty for deep infection.
16124974,10.1016/j.arth.2004.09.063,2005,"Long-term clinical, radiological and histopathological follow-up of a well-fixed Mckee-Farrar metal-on-metal total hip arthroplasty."
15809949,10.1016/j.arth.2004.04.015,2005,Postoperative management after total hip and knee arthroplasty.
15809950,10.1016/j.arth.2004.10.001,2005,"Effect of tourniquet pressure on perioperative blood loss associated with cementless total knee arthroplasty: a prospective, randomized study."
15809951,10.1016/j.arth.2004.05.006,2005,Failure of free vascularized fibular graft for osteonecrosis of the femoral head: a histopathologic study of 6 cases.
15809952,10.1016/j.arth.2004.04.017,2005,Cemented hip arthroplasty with a novel cerclage cable technique for unstable intertrochanteric hip fractures.
15809953,10.1016/j.arth.2004.03.026,2005,Total knee arthroplasty for salvage of failed internal fixation or nonunion of the distal femur.
15809954,10.1016/j.arth.2004.09.028,2005,The long-term wear of retrieved McKee-Farrar metal-on-metal total hip prostheses.
15809955,10.1016/j.arth.2004.08.007,2005,The nonoperative management of periprosthetic fractures associated with the Birmingham hip resurfacing procedure.
15809956,10.1016/j.arth.2004.11.017,2005,Ten to twelve-year results with the Zweymüller cementless total hip prosthesis.
15809957,10.1016/j.arth.2004.12.049,2005,Radiographic evaluation of a monoblock acetabular component: a multicenter study with 2- to 5-year results.
15809958,10.1016/j.arth.2004.09.035,2005,Third-body wear testing of a highly cross-linked acetabular liner: the effect of large femoral head size in the presence of particulate poly(methyl-methacrylate) debris.
15809959,10.1016/j.arth.2004.05.002,2005,Stress risers between two ipsilateral intramedullary stems: a finite-element and biomechanical analysis.
15809960,10.1016/j.arth.2004.09.044,2005,Stress fracture of the femoral neck as a complication of total knee arthroplasty.
15809961,10.1016/j.arth.2004.01.015,2005,Total hip arthroplasty in severe congenital factor VII deficiency: successful use of recombinant activated factor VII for hemostasis.
15809962,10.1016/j.arth.2004.09.030,2005,Bilateral prosthetic knee infection by Campylobacter fetus.
15902850,10.1016/j.arth.2004.09.057,2005,Functional results after revision of well-fixed components for stiffness after primary total knee arthroplasty.
15902851,10.1016/j.arth.2004.09.061,2005,Minimally invasive total hip arthroplasty: a prospective randomized study.
15902852,10.1016/j.arth.2004.09.032,2005,Comparison of mobile-bearing and fixed-bearing total knee arthroplasty: a prospective randomized study.
15902853,10.1016/j.arth.2004.10.008,2005,In vivo determination of knee kinematics for Japanese subjects having either a low contact stress rotating platform or an anteroposterior glide total knee arthroplasty.
15902854,10.1016/j.arth.2004.07.006,2005,A 15- to 25- year follow-up study of primary Charnley low-friction arthroplasty: a single surgeon series.
15902855,10.1016/j.arth.2004.09.023,2005,The relationship between shelf life and in vivo wear for polyethylene acetabular liners.
