topic_id,n_documents,slope,intercept,r_squared,p_value,mean_pct,peak_year,peak_count,recent_5yr_pct,early_5yr_pct,p_adj,trend_class,topic_name,topic_count,clinical_label,recent10yr_share
4,253,0.214546,-430.4254,0.8504,0.0,1.992,2025,38,4.1835,0.315,0.0,Emerging,4_mcid_koos_promis_physical,253,KOOS and Knee-Specific PROMs,0.8300395256916996
6,215,0.185884,-373.0441,0.7331,0.0,1.6056,2020,28,3.0279,0.1601,0.0,Emerging,6_ci_95 ci_odds_day,215,Observational Study Design and Statistical Methods,0.8604651162790697
3,260,0.167971,-336.4152,0.7883,0.0,2.1309,2025,28,3.6139,0.636,0.0,Emerging,3_stage_infection_pji_exchange,260,Periprosthetic Joint Infection Diagnosis and Treatment,0.7846153846153846
7,200,0.148132,-296.9573,0.6367,9e-06,1.6019,2025,32,2.8309,0.2309,5e-05,Emerging,7_meta_systematic_meta analysis_systematic review,200,Systematic Reviews and Meta-Analyses,0.775
5,251,0.13776,-275.6004,0.5387,0.000101,2.0546,2018,30,3.0034,0.6686,0.000399,Emerging,5_odds_infection_increased risk_pji,251,Periprosthetic Joint Infection Diagnosis and Treatment (Odds),0.7450199203187251
10,147,0.072217,-144.3259,0.6053,2e-05,1.2272,2021,16,1.6796,0.6664,9.8e-05,Emerging,10_survivorship_free_loosening_aseptic,147,Aseptic Loosening of Hip and Knee Implants,0.7619047619047619
15,112,0.06704,-134.2523,0.3968,0.001678,0.8669,2025,16,1.0102,0.2353,0.004642,Emerging,15_medicare_reimbursement_care_hospital,112,Medicare Reimbursement and Bundled Payments,0.75
28,65,0.066697,-133.9378,0.6465,7e-06,0.4899,2026,12,1.1238,0.0781,4.5e-05,Emerging,28_proms_patient reported_medicare_completion,65,Medicare Reimbursement and Bundled Payments (Proms),0.8615384615384616
35,54,0.064597,-129.7996,0.6414,8e-06,0.3954,2024,10,1.1619,0.0,4.7e-05,Emerging,35_hr_revision risk_registry_risk revision,54,Registry-Based Revision Risk and Implant Survivorship,0.9259259259259259
9,189,0.064583,-128.5471,0.2625,0.014779,1.6191,2020,18,2.0084,1.0898,0.026666,Emerging,9_synovial_pji_crp_diagnostic,189,Periprosthetic Joint Infection Diagnosis and Treatment (Synovial),0.7513227513227513
29,62,0.060617,-121.7136,0.6419,7e-06,0.4606,2023,10,0.9433,0.0,4.5e-05,Emerging,29_machine learning_machine_learning_models,62,Machine Learning Prediction of Arthroplasty Outcomes,0.8870967741935484
36,52,0.052326,-105.086,0.7446,0.0,0.3767,2025,8,0.908,0.0,0.0,Emerging,36_fractures_fracture_orif_stage,52,Periprosthetic Fracture Treatment and Fixation,0.8846153846153846
31,61,0.049528,-99.3251,0.5102,0.000188,0.4982,2023,10,1.0272,0.1566,0.000657,Emerging,31_iliopsoas_fusion_lumbar_dislocation,61,Hip-Spine Syndrome and Lumbar Fusion After THA,0.819672131147541
45,41,0.046474,-93.3734,0.803,0.0,0.2954,2025,8,0.7761,0.0,0.0,Emerging,45_daa_anterior_posterior_da,41,Direct Anterior Approach Total Hip Arthroplasty,0.926829268292683
60,32,0.046161,-92.8074,0.5099,0.00019,0.2308,2024,8,0.8471,0.0,0.000657,Emerging,60_odds_matched_bariatric surgery_year years,32,Bariatric Surgery Prior to Joint Arthroplasty,0.96875
27,67,0.041581,-83.2938,0.3527,0.003567,0.5122,2017,10,0.6047,0.1584,0.008224,Emerging,27_costs_care_medicare_cost,67,Medicare Reimbursement and Bundled Payments (Costs),0.8208955223880597
61,32,0.039518,-79.4196,0.4245,0.001021,0.2284,2024,10,0.7442,0.0,0.003027,Emerging,61_fragility_rcts_iqr_consensus,32,Clinical Trial Quality and Fragility Index in Arthroplasty,0.96875
46,41,0.034516,-69.2667,0.4555,0.000569,0.3003,2018,7,0.4427,0.0,0.001816,Emerging,46_survivorship_survival_ci_radiographic,41,Radiographic Implant Survival and Loosening Assessment,0.926829268292683
48,41,0.032349,-64.8793,0.3673,0.002793,0.3202,2019,6,0.5025,0.0781,0.006818,Emerging,48_discharge_predictive_model_risk assessment,41,Risk Assessment and Discharge Disposition Models,0.8780487804878049
41,43,0.030699,-61.538,0.2926,0.009332,0.3358,2021,8,0.537,0.1566,0.018248,Emerging,41_questions_online_fellowship_search,43,Online Research Quality and Surgical Training Surveys,0.8604651162790697
43,42,0.028071,-56.2444,0.2193,0.02796,0.3332,2021,10,0.4606,0.0746,0.046414,Emerging,43_national joint_registry_cemented_hr,42,National Joint Replacement Registry Studies,0.7857142857142857
