topic_id,final_clinical_label,rank,pmid,year,title
0,Tranexamic Acid and Perioperative Blood Management,1,27067467,2016,A Randomized Controlled Trial Comparing Adductor Canal Catheter and Intraarticular Catheter After Primary Total Knee Arthroplasty.
0,Tranexamic Acid and Perioperative Blood Management,2,35351553,2022,Liposomal Bupivacaine in Adductor Canal Blocks Before Total Knee Arthroplasty Leads to Improved Postoperative Outcomes: A Randomized Controlled Trial.
0,Tranexamic Acid and Perioperative Blood Management,3,27259389,2016,Postoperative Pain Management After Primary Total Knee Arthroplasty: The Value of Liposomal Bupivacaine.
0,Tranexamic Acid and Perioperative Blood Management,4,30401559,2019,Opioid-Sparing Analgesia and Enhanced Recovery After Total Knee Arthroplasty Using Combined Triple Nerve Blocks With Local Infiltration Analgesia.
0,Tranexamic Acid and Perioperative Blood Management,5,28318860,2017,"A Prospective, Randomized Trial Comparing Liposomal Bupivacaine vs Fascia Iliaca Compartment Block for Postoperative Pain Control in Total Hip Arthroplasty."
1,Acetabular Cup Orientation and Component Positioning,1,28111126,2017,Rigid Patient Positioning is Unreliable in Total Hip Arthroplasty.
1,Acetabular Cup Orientation and Component Positioning,2,39954749,2025,Evaluating the Accuracy of a Computed Tomography-Based Mixed-Reality Navigation Tool for Acetabular Component Positioning in Total Hip Arthroplasty.
1,Acetabular Cup Orientation and Component Positioning,3,26614747,2016,Independent Evaluation of a Mechanical Hip Socket Navigation System in Total Hip Arthroplasty.
1,Acetabular Cup Orientation and Component Positioning,4,37075906,2023,Validation of a Novel Method of Measuring Cup Orientation Using BiPlanar Simultaneous Radiographic Images.
1,Acetabular Cup Orientation and Component Positioning,5,27236745,2016,Even the Intraoperative Knowledge of Femoral Stem Anteversion Cannot Prevent Impingement in Total Hip Arthroplasty.
2,Primary Total Hip Arthroplasty Technique and Outcomes,1,35301047,2022,Long-Term Follow-Up of Management of the Hypoplastic Femur With Femoral Episiotomy and Onlay Allograft During Total Hip Arthroplasty.
2,Primary Total Hip Arthroplasty Technique and Outcomes,2,28410835,2017,Modified Extended Trochanteric Osteotomy for the Treatment of Vancouver B2/B3 Periprosthetic Fractures of the Femur.
2,Primary Total Hip Arthroplasty Technique and Outcomes,3,29656965,2018,Total Hip Arthroplasty for Periacetabular Metastatic Disease. An Original Technique of Reconstruction According to the Harrington Classification.
2,Primary Total Hip Arthroplasty Technique and Outcomes,4,29153632,2018,A 2- to 16-Year Clinical Follow-Up of Revision Total Hip Arthroplasty Using a New Acetabular Implant Combined With Impacted Bone Allografts and a Cemented Cup.
