topic_id,n_documents_2005_2025,slope,ci_low,ci_high,p_value,r_squared,recent_10yr_share,peak_year,q_value,trend_class,clinical_label,published_trend_class,published_slope
4,224,0.19902978039994837,0.15753642449917404,0.2405231363007227,4.938708130045752e-09,0.841392170233652,0.84375,2025,2.0495638739689868e-07,Emerging,KOOS and Knee-Specific PROMs,Emerging,0.214546
6,197,0.18943470456826822,0.131879200223537,0.24699020891299944,1.4324767405982079e-06,0.7140978012012544,0.9289340101522843,2020,1.4861946183706406e-05,Emerging,Observational Study Design and Statistical Methods,Emerging,0.185884
3,238,0.16583593621055906,0.12110518840951315,0.21056668401160497,2.6281840373823516e-07,0.7601417033764364,0.7941176470588235,2025,3.6356545850455866e-06,Emerging,Periprosthetic Joint Infection Diagnosis and Treatment,Emerging,0.167971
5,233,0.14050576716048868,0.07496666709217534,0.20604486722880203,0.0002524562398306245,0.5144919747626484,0.7682403433476395,2018,0.0009524485411791742,Emerging,Periprosthetic Joint Infection Diagnosis and Treatment (Odds),Emerging,0.13776
7,174,0.12495788252666841,0.0762691326125033,0.1736466324408335,3.4898247034238196e-05,0.6029658785460839,0.7701149425287356,2025,0.00018103465649011062,Emerging,Systematic Reviews and Meta-Analyses,Emerging,0.148132
9,183,0.08164352155096466,0.03072152953780658,0.13256551356412274,0.003320403386716798,0.3721313864295759,0.8032786885245902,2020,0.007066499515320365,Emerging,Periprosthetic Joint Infection Diagnosis and Treatment (Synovial),Emerging,0.064583
15,108,0.07897593031638234,0.039484351983063486,0.11846750864970118,0.0005014511128672923,0.4797341739598904,0.8240740740740741,2025,0.00160078624492251,Emerging,Medicare Reimbursement and Bundled Payments,Emerging,0.06704
10,137,0.0743199487371178,0.044424745112569025,0.10421515236166656,5.0589089423888575e-05,0.5876220280735327,0.781021897810219,2021,0.00024699378954016186,Emerging,Aseptic Loosening of Hip and Knee Implants,Emerging,0.072217
29,56,0.06053361717384235,0.03722114587403161,0.08384608847365309,3.0387200652755623e-05,0.6085453329913774,0.9285714285714286,2023,0.0001681425102785811,Emerging,Machine Learning Prediction of Arthroplasty Outcomes,Emerging,0.060617
36,49,0.05767737125440132,0.04359167871480544,0.07176306379399719,5.936881380337909e-08,0.7944876954461024,0.9387755102040817,2025,1.231902886420116e-06,Emerging,Periprosthetic Fracture Treatment and Fixation,Emerging,0.052326
35,44,0.05367426625218718,0.03348480921424317,0.07386372329013119,2.2902223962070357e-05,0.6197122752349612,0.9318181818181818,2024,0.0001462218914501415,Emerging,Registry-Based Revision Risk and Implant Survivorship,Emerging,0.064597
28,53,0.05218730725102171,0.035672909321159296,0.06870170518088413,2.4978843839430463e-06,0.6971988420707818,0.8867924528301887,2025,2.3036044874141425e-05,Emerging,Medicare Reimbursement and Bundled Payments (Proms),Emerging,0.066697
27,65,0.049882405243389265,0.023057958292862845,0.07670685219391568,0.000980202369095355,0.44361343577142687,0.9076923076923077,2017,0.002542399894841077,Emerging,Medicare Reimbursement and Bundled Payments (Costs),Emerging,0.041581
31,54,0.045691045816002016,0.02122926760685062,0.07015282402515341,0.00094221951767497,0.4458042350318653,0.8333333333333334,2023,0.0025227167731297585,Emerging,Hip-Spine Syndrome and Lumbar Fusion After THA,Emerging,0.049528
45,36,0.04453559909492633,0.03296564356920359,0.056105554620649076,1.509196901431134e-07,0.7735620966100765,0.9444444444444444,2025,2.5052668563756824e-06,Emerging,Direct Anterior Approach Total Hip Arthroplasty,Emerging,0.046474
61,30,0.04345614256230234,0.020347826627300027,0.06656445849730465,0.0008867703382325184,0.44915144750874225,0.9666666666666667,2024,0.0025227167731297585,Emerging,Clinical Trial Quality and Fragility Index in Arthroplasty,Emerging,0.039518
48,40,0.03914986292097401,0.01924456650239762,0.059055159339550405,0.000587104873101788,0.47143190811783975,0.9,2019,0.0017403465881231574,Emerging,Risk Assessment and Discharge Disposition Models,Emerging,0.032349
14,114,0.03847054442232294,-0.003999342452942034,0.08094043129758792,0.07328364429369702,0.15908874619772817,0.6754385964912281,2017,0.10487142200649746,Stable,THA Survivorship and Long-Term Aseptic Loosening,Stable,0.025527
60,25,0.03800057390997434,0.017377137731744485,0.0586240100882042,0.001063154635861342,0.4390858781554112,0.96,2024,0.0026739949932270118,Emerging,Bariatric Surgery Prior to Joint Arthroplasty,Emerging,0.046161
46,38,0.03610502032431158,0.01678956947018604,0.05542047117843712,0.0009360446230079434,0.4461679732557198,0.9210526315789473,2018,0.0025227167731297585,Emerging,Radiographic Implant Survival and Loosening Assessment,Emerging,0.034516
23,76,0.03594656397845043,-0.006194206327657166,0.07808733428455802,0.09017410559281068,0.14366425881215794,0.8157894736842105,2020,0.12474084607005477,Stable,Value-Based Care and Alternative Payment Models,Stable,0.034304
43,41,0.03441622070816787,0.008477178418805468,0.06035526299753027,0.01200869920079126,0.28870914714117724,0.7804878048780488,2021,0.020808010505320305,Emerging,National Joint Replacement Registry Studies,Emerging,0.028071
0,345,0.03249256107301834,-0.05968377661894118,0.12466889876497786,0.4696509235944506,0.027851989316889147,0.6550724637681159,2017,0.5152226080172178,Stable,Tranexamic Acid and Perioperative Blood Management,Stable,0.033222
41,40,0.03222220081310752,0.007728535159889496,0.05671586646632554,0.012640319884922516,0.2852153452067814,0.875,2021,0.02141115409078712,Emerging,Online Research Quality and Surgical Training Surveys,Emerging,0.030699
