theme,signature_terms,config,n_matched_clusters,n_documents,slope_pct_per_year,p_value,direction
Acetabular cup orientation,acetabular; cup; inclination; anteversion; component position,nn10_mcs15_seed42,6,631,-0.9704,4.09e-13,decrease
Acetabular cup orientation,acetabular; cup; inclination; anteversion; component position,nn10_mcs20_seed2024,4,263,-0.2899,5.71e-07,decrease
Acetabular cup orientation,acetabular; cup; inclination; anteversion; component position,nn10_mcs20_seed42,5,717,-1.2129,1.2e-11,decrease
Acetabular cup orientation,acetabular; cup; inclination; anteversion; component position,nn10_mcs20_seed7,6,596,-1.0193,1.16e-11,decrease
Acetabular cup orientation,acetabular; cup; inclination; anteversion; component position,nn15_mcs20_seed42,5,486,-0.7158,7.12e-09,decrease
Acetabular cup orientation,acetabular; cup; inclination; anteversion; component position,nn5_mcs15_seed42,5,364,-0.472,4.53e-10,decrease
Acetabular cup orientation,acetabular; cup; inclination; anteversion; component position,nn5_mcs20_seed42,5,450,-0.524,3.03e-10,decrease
Acetabular cup orientation,acetabular; cup; inclination; anteversion; component position,nn5_mcs30_seed42,4,523,-0.736,8.51e-12,decrease
Case reports of complications,case report; rare; unusual; we report; case of,nn10_mcs15_seed42,1,40,-0.1259,0.000531,decrease
Case reports of complications,case report; rare; unusual; we report; case of,nn10_mcs20_seed2024,1,119,-0.3332,3.61e-05,decrease
Case reports of complications,case report; rare; unusual; we report; case of,nn10_mcs20_seed42,1,125,-0.3472,2.51e-05,decrease
Case reports of complications,case report; rare; unusual; we report; case of,nn10_mcs20_seed7,1,120,-0.3337,3.25e-05,decrease
Case reports of complications,case report; rare; unusual; we report; case of,nn5_mcs20_seed42,1,47,-0.119,0.00128,decrease
Case reports of complications,case report; rare; unusual; we report; case of,nn5_mcs30_seed42,1,199,-0.5202,4.17e-05,decrease
Ceramic bearings,ceramic; alumina; zirconia; squeaking,nn10_mcs15_seed42,1,31,-0.0806,0.00111,decrease
Ceramic bearings,ceramic; alumina; zirconia; squeaking,nn10_mcs20_seed2024,3,118,-0.2067,2.94e-05,decrease
Ceramic bearings,ceramic; alumina; zirconia; squeaking,nn15_mcs20_seed42,1,34,-0.0567,6.94e-06,decrease
Ceramic bearings,ceramic; alumina; zirconia; squeaking,nn5_mcs15_seed42,2,58,-0.1206,0.00113,decrease
Ceramic bearings,ceramic; alumina; zirconia; squeaking,nn5_mcs20_seed42,1,41,-0.1002,0.000996,decrease
Machine learning / AI,machine learning; deep learning; neural; artificial intelligence; algorithm; prediction model,nn10_mcs15_seed42,2,77,0.0904,8.83e-05,increase
Machine learning / AI,machine learning; deep learning; neural; artificial intelligence; algorithm; prediction model,nn10_mcs20_seed2024,3,134,0.105,0.00105,increase
Machine learning / AI,machine learning; deep learning; neural; artificial intelligence; algorithm; prediction model,nn10_mcs20_seed42,2,77,0.0904,8.83e-05,increase
Machine learning / AI,machine learning; deep learning; neural; artificial intelligence; algorithm; prediction model,nn10_mcs20_seed7,2,90,0.0791,0.000136,increase
Machine learning / AI,machine learning; deep learning; neural; artificial intelligence; algorithm; prediction model,nn15_mcs20_seed42,3,100,0.0977,0.00024,increase
Machine learning / AI,machine learning; deep learning; neural; artificial intelligence; algorithm; prediction model,nn5_mcs15_seed42,3,131,0.1328,0.000114,increase
Machine learning / AI,machine learning; deep learning; neural; artificial intelligence; algorithm; prediction model,nn5_mcs20_seed42,3,131,0.1328,0.000114,increase
Machine learning / AI,machine learning; deep learning; neural; artificial intelligence; algorithm; prediction model,nn5_mcs30_seed42,2,86,0.0823,2.73e-05,increase
Patient-reported outcome measures,koos; prom; womac; promis; patient-reported; mcid; hoos,nn10_mcs15_seed42,3,158,0.1454,3.29e-06,increase
Patient-reported outcome measures,koos; prom; womac; promis; patient-reported; mcid; hoos,nn10_mcs20_seed2024,2,162,0.1556,6.22e-08,increase
