doc_id,pmid,year,journal,title,topic_id,topic_probability,clinical_label
0,16376255,2005,The Journal of arthroplasty,Evaluation of a porous tantalum uncemented acetabular cup in revision total hip arthroplasty: clinical and radiological results of 60 hips.,33,0.2954147583442553,Osteolysis and Implant Loosening
1,15809945,2005,The Journal of arthroplasty,Extended trochanteric osteotomy for 2-stage revision of infected total hip arthroplasty.,59,0.0963862544368912,Extended Trochanteric Osteotomy and Periprosthetic Fracture
2,16139702,2005,The Journal of arthroplasty,Total knee arthroplasty in patients with Paget's disease of bone at the knee.,-1,0.0563329594016649,
3,15647728,2005,The Journal of arthroplasty,The early innovators of today's resurfacing condylar knees.,-1,0.0623215580306808,
4,15660053,2005,The Journal of arthroplasty,Cementless porous-coated sockets without holes implanted with pure press-fit technique.,2,0.0914316481287027,Primary Total Hip Arthroplasty Technique and Outcomes
5,15660054,2005,The Journal of arthroplasty,"Range of motion and stability in total hip arthroplasty with 28-, 32-, 38-, and 44-mm femoral head sizes.",8,0.3600564927004454,"Knee Kinematics, Gap Balancing, and ROM"
6,15660055,2005,The Journal of arthroplasty,Sensitivity and specificity of plain radiographs for detection of medial-wall perforation secondary to osteolysis.,-1,0.0041075689723378,
7,15660056,2005,The Journal of arthroplasty,The variability of intramedullary alignment of the femoral component during total knee arthroplasty.,1,0.4358633851187329,Acetabular Cup Orientation and Component Positioning
8,15660057,2005,The Journal of arthroplasty,The use of computer-assisted surgical navigation to prevent malalignment in unicompartmental knee arthroplasty.,-1,0.07078877244844,
9,15660058,2005,The Journal of arthroplasty,Augments and allografts in revision total knee arthroplasty: usage and outcome using one modular revision prosthesis.,-1,0.0254857663402447,
10,15660059,2005,The Journal of arthroplasty,The effect of intraoperative heparin administered during total hip arthroplasty on the incidence of proximal deep vein thrombosis assessed by magnetic resonance venography.,11,1.0,Aspirin vs Anticoagulant VTE Prophylaxis
11,15809946,2005,The Journal of arthroplasty,Revision total knee arthroplasty with modular components inserted with metaphyseal cement and stems without cement.,-1,0.0484748080276648,
12,15660060,2005,The Journal of arthroplasty,The precision and usefulness of preoperative planning for cemented and hybrid primary total hip arthroplasty.,1,0.1300459603719645,Acetabular Cup Orientation and Component Positioning
13,15902859,2005,The Journal of arthroplasty,Polyethylene failure of the patellar component in New Jersey low-contact stress total knee arthroplasties.,-1,0.2501901738380311,
14,15660063,2005,The Journal of arthroplasty,Intramedullary compression arthrodesis of the knee: early experience with a new device and technique.,2,0.0943003950808995,Primary Total Hip Arthroplasty Technique and Outcomes
15,15660065,2005,The Journal of arthroplasty,Analysis of 16 retrieved proximally cemented femoral stems.,26,1.0,Femoral Head Taper Corrosion and Modular Junction Failure
16,15660066,2005,The Journal of arthroplasty,Comparison between triple-tapered and double-tapered cemented femoral stems in total hip arthroplasty: a prospective study comparing the C-Stem versus the Exeter Universal early results after 5 years of clinical experience.,57,1.0,Ceramic Components and Periprosthetic Osteolysis
17,15660067,2005,The Journal of arthroplasty,Retrieval study of tibial baseplate fracture after total knee arthroplasty.,-1,0.0737230859052984,
18,15660068,2005,The Journal of arthroplasty,Radiological findings and clinical results of 102 thrust-plate femoral hip prostheses: a follow-up of 2 to 8 years.,2,1.0,Primary Total Hip Arthroplasty Technique and Outcomes
19,15660069,2005,The Journal of arthroplasty,Outcome following stabilization of type B1 periprosthetic femoral fractures.,2,0.1039200136502513,Primary Total Hip Arthroplasty Technique and Outcomes
20,15660070,2005,The Journal of arthroplasty,Bony ankylosis following total knee arthroplasty: a case report.,13,0.2109288104244628,Case Reports of Unusual Arthroplasty Complications
21,15660071,2005,The Journal of arthroplasty,Ginkgo biloba: persistent bleeding after total hip arthroplasty caused by herbal self-medication.,13,0.2963858662029332,Case Reports of Unusual Arthroplasty Complications
22,15660072,2005,The Journal of arthroplasty,Limb salvage and abductor reattachment using a custom prosthesis with porous tantalum components.,2,1.0,Primary Total Hip Arthroplasty Technique and Outcomes
23,15660062,2005,The Journal of arthroplasty,Efficacy of cementless total hip arthroplasty in patients on long-term hemodialysis.,12,0.211551882934864,Ceramic-on-Ceramic Bearings and Fracture
24,15809947,2005,The Journal of arthroplasty,Precoated femoral component with proximal and distal centralizers: results at 5 to 12 years.,-1,0.1500293432533665,
25,15809948,2005,The Journal of arthroplasty,"Cryo/Cuff compared to epidural anesthesia after knee unicompartmental arthroplasty: a prospective, randomized and controlled study of 60 patients with a 6-week follow-up.",0,0.2832061390001282,Tranexamic Acid and Perioperative Blood Management
26,15902858,2005,The Journal of arthroplasty,Application of core biopsy in revision arthroplasty for deep infection.,9,0.1000410214168683,Periprosthetic Joint Infection Diagnosis and Treatment (Synovial)
27,16124974,2005,The Journal of arthroplasty,"Long-term clinical, radiological and histopathological follow-up of a well-fixed Mckee-Farrar metal-on-metal total hip arthroplasty.",-1,0.0212466788411629,
28,15809949,2005,The Journal of arthroplasty,Postoperative management after total hip and knee arthroplasty.,22,0.6239751070196226,AAHKS Member Survey Studies
29,15809950,2005,The Journal of arthroplasty,"Effect of tourniquet pressure on perioperative blood loss associated with cementless total knee arthroplasty: a prospective, randomized study.",0,1.0,Tranexamic Acid and Perioperative Blood Management
30,15809951,2005,The Journal of arthroplasty,Failure of free vascularized fibular graft for osteonecrosis of the femoral head: a histopathologic study of 6 cases.,2,0.2611795608723543,Primary Total Hip Arthroplasty Technique and Outcomes
31,15809952,2005,The Journal of arthroplasty,Cemented hip arthroplasty with a novel cerclage cable technique for unstable intertrochanteric hip fractures.,-1,0.0270067264141548,
32,15809953,2005,The Journal of arthroplasty,Total knee arthroplasty for salvage of failed internal fixation or nonunion of the distal femur.,-1,0.0492984682159526,
33,15809954,2005,The Journal of arthroplasty,The long-term wear of retrieved McKee-Farrar metal-on-metal total hip prostheses.,16,0.1734840328587141,Implant Retrieval and Corrosion Analysis
34,15809955,2005,The Journal of arthroplasty,The nonoperative management of periprosthetic fractures associated with the Birmingham hip resurfacing procedure.,59,1.0,Extended Trochanteric Osteotomy and Periprosthetic Fracture
35,15809956,2005,The Journal of arthroplasty,Ten to twelve-year results with the Zweymüller cementless total hip prosthesis.,33,0.1708434784713153,Osteolysis and Implant Loosening
36,15809957,2005,The Journal of arthroplasty,Radiographic evaluation of a monoblock acetabular component: a multicenter study with 2- to 5-year results.,-1,0.0276112739907831,
37,15809958,2005,The Journal of arthroplasty,Third-body wear testing of a highly cross-linked acetabular liner: the effect of large femoral head size in the presence of particulate poly(methyl-methacrylate) debris.,16,0.1749094006232975,Implant Retrieval and Corrosion Analysis
38,15809959,2005,The Journal of arthroplasty,Stress risers between two ipsilateral intramedullary stems: a finite-element and biomechanical analysis.,24,0.2541909303320122,Biomechanical Testing and Implant Stability
39,15809960,2005,The Journal of arthroplasty,Stress fracture of the femoral neck as a complication of total knee arthroplasty.,13,0.2901326840718036,Case Reports of Unusual Arthroplasty Complications
40,15809961,2005,The Journal of arthroplasty,Total hip arthroplasty in severe congenital factor VII deficiency: successful use of recombinant activated factor VII for hemostasis.,3,0.0164015399471266,Periprosthetic Joint Infection Diagnosis and Treatment
41,15809962,2005,The Journal of arthroplasty,Bilateral prosthetic knee infection by Campylobacter fetus.,13,1.0,Case Reports of Unusual Arthroplasty Complications
42,15902850,2005,The Journal of arthroplasty,Functional results after revision of well-fixed components for stiffness after primary total knee arthroplasty.,81,1.0,Knee Society Score and Clinical Outcome Reporting
43,15902851,2005,The Journal of arthroplasty,Minimally invasive total hip arthroplasty: a prospective randomized study.,-1,0.0651809244169793,
44,15902852,2005,The Journal of arthroplasty,Comparison of mobile-bearing and fixed-bearing total knee arthroplasty: a prospective randomized study.,19,1.0,"Patellar Resurfacing, PCL Management, and Knee Design"
45,15902853,2005,The Journal of arthroplasty,In vivo determination of knee kinematics for Japanese subjects having either a low contact stress rotating platform or an anteroposterior glide total knee arthroplasty.,8,0.2450411470399022,"Knee Kinematics, Gap Balancing, and ROM"
46,15902854,2005,The Journal of arthroplasty,A 15- to 25- year follow-up study of primary Charnley low-friction arthroplasty: a single surgeon series.,12,0.2934701482339745,Ceramic-on-Ceramic Bearings and Fracture
47,15902855,2005,The Journal of arthroplasty,The relationship between shelf life and in vivo wear for polyethylene acetabular liners.,49,1.0,Polyethylene Wear and Osteolysis
48,15902856,2005,The Journal of arthroplasty,Metal-on-Metal total hip replacement: what does the literature say?,-1,0.0170518315840549,
49,15902857,2005,The Journal of arthroplasty,The role of intraoperative frozen section in decision making in revision hip and knee arthroplasties in a local community hospital.,9,0.2888175258601941,Periprosthetic Joint Infection Diagnosis and Treatment (Synovial)
50,15809942,2005,The Journal of arthroplasty,Primary exeter total hip arthroplasty in patients with small femurs: a minimal of 10 years follow-up.,33,0.0697123166230294,Osteolysis and Implant Loosening
51,15809943,2005,The Journal of arthroplasty,Leg axis after computer-navigated total knee arthroplasty: a prospective randomized trial comparing computer-navigated and manual implantation.,-1,0.0405264506813586,
52,15809944,2005,The Journal of arthroplasty,Arthroplasty in the octogenarian: quantifying the risks.,-1,0.0317222421024307,
53,15660064,2005,The Journal of arthroplasty,Extended femoral osteotomy for revision of hip arthroplasty: results and complications.,2,0.094745535619406,Primary Total Hip Arthroplasty Technique and Outcomes
54,16124968,2005,The Journal of arthroplasty,Hemiarthroplasty for femoral neck fracture in the elderly surgeon and hospital volume-related outcomes.,5,1.0,Periprosthetic Joint Infection Diagnosis and Treatment (Odds)
55,15991137,2005,The Journal of arthroplasty,The surgical management of femoral osteolysis.,33,0.0573399928556872,Osteolysis and Implant Loosening
56,15902863,2005,The Journal of arthroplasty,Fracture of the femur in revision hip arthroplasty with a fully porous-coated component.,59,0.2232373721581619,Extended Trochanteric Osteotomy and Periprosthetic Fracture
57,15902865,2005,The Journal of arthroplasty,Migration of cemented stem and restrictor after total hip arthroplasty: a radiostereometry study of 25 patients with Lubinus SP II stem.,-1,0.0394182041608356,
58,15902866,2005,The Journal of arthroplasty,Anatomic dimensions of the patella measured during total knee arthroplasty.,1,0.1016016027323003,Acetabular Cup Orientation and Component Positioning
59,15902867,2005,The Journal of arthroplasty,Effect of oral alendronate on net bone ingrowth into canine cementless total hips.,-1,0.0302156823493167,
60,15902864,2005,The Journal of arthroplasty,The measurement of creep in ultrahigh molecular weight polyethylene: a comparison of conventional versus highly cross-linked polyethylene.,16,0.2300528452049582,Implant Retrieval and Corrosion Analysis
61,15991118,2005,The Journal of arthroplasty,Patellofemoral arthroplasty: the third compartment.,21,0.1025309653972678,Adverse Local Tissue Reactions and Implant Corrosion
62,15991119,2005,The Journal of arthroplasty,"Choosing your implant: cemented, tricompartmental, and posterior stabilized.",-1,0.0342112197521451,
63,15991120,2005,The Journal of arthroplasty,"Choosing your implant: cementless, patella sparing, and posterior cruciate ligament retaining.",-1,0.0171479424483261,
64,15991121,2005,The Journal of arthroplasty,Deep vein thrombosis prophylaxis: better living through chemistry--in the affirmative.,-1,0.0347922563634244,
65,15991123,2005,The Journal of arthroplasty,A comedy of errors: the bad knee.,26,0.3143711040039508,Femoral Head Taper Corrosion and Modular Junction Failure
66,15991117,2005,The Journal of arthroplasty,Making your next unicompartmental knee arthroplasty last: three keys to success.,21,0.0479876185483392,Adverse Local Tissue Reactions and Implant Corrosion
67,15991125,2005,The Journal of arthroplasty,Periprosthetic fractures after total knee arthroplasty.,2,0.1005956017397814,Primary Total Hip Arthroplasty Technique and Outcomes
68,15991124,2005,The Journal of arthroplasty,The stiff total knee arthroplasty: causality and solution.,21,0.0910434198979035,Adverse Local Tissue Reactions and Implant Corrosion
69,15991134,2005,The Journal of arthroplasty,Metal-on-metal resurfacing arthroplasty: no way under the sun!--in the affirmative.,23,0.1439447346135882,Value-Based Care and Alternative Payment Models
70,15991133,2005,The Journal of arthroplasty,The tapered press fit total hip arthroplasty: a European alternative.,26,1.0,Femoral Head Taper Corrosion and Modular Junction Failure
71,15991131,2005,The Journal of arthroplasty,Highly cross-linked polyethylene: the debate is over--in the affirmative.,26,1.0,Femoral Head Taper Corrosion and Modular Junction Failure
72,15991130,2005,The Journal of arthroplasty,Blood management: issues and options.,-1,0.0273698729457544,
73,15991128,2005,The Journal of arthroplasty,"The role of implant constraint in revision total knee arthroplasty: not too little, not too much.",21,0.0547543365678026,Adverse Local Tissue Reactions and Implant Corrosion
74,15991127,2005,The Journal of arthroplasty,Preoperative planning for revision total knee arthroplasty:avoiding chaos.,-1,0.0481236528412648,
75,15991126,2005,The Journal of arthroplasty,The infected total knee: management options.,-1,0.0668926790181502,
76,15991129,2005,The Journal of arthroplasty,What would you do? Case challenges in knee surgery.,21,0.0980698426454985,Adverse Local Tissue Reactions and Implant Corrosion
77,15991138,2005,The Journal of arthroplasty,The treatment of pelvic discontinuity during acetabular revision.,21,0.0395779648445704,Adverse Local Tissue Reactions and Implant Corrosion
78,16376250,2005,The Journal of arthroplasty,"Perioperative blood loss in cementless or hybrid total knee arthroplasty without patellar resurfacing: a prospective, randomized study.",0,1.0,Tranexamic Acid and Perioperative Blood Management
79,15991139,2005,The Journal of arthroplasty,Management of acetabular bone stock deficiency.,21,0.1859720504740711,Adverse Local Tissue Reactions and Implant Corrosion
80,15902861,2005,The Journal of arthroplasty,Periprosthetic bone remodeling around a prosthesis for distal femoral tumors: longitudinal follow-up.,-1,0.011299102071043,
81,15902860,2005,The Journal of arthroplasty,Outcome of acetabular revision using an uncemented hydroxyapatite-coated component: two- to five-year results and review.,-1,0.090258215359428,
82,15660061,2005,The Journal of arthroplasty,Evaluation of the anterior cruciate ligament integrity and degenerative arthritic patterns in patients undergoing total knee arthroplasty.,-1,0.061739806084584,
83,15902862,2005,The Journal of arthroplasty,A comparison of 2 continuous passive motion protocols after total knee arthroplasty: a controlled and randomized study.,0,0.3363043247669109,Tranexamic Acid and Perioperative Blood Management
84,15991140,2005,The Journal of arthroplasty,Rebuilding the skeleton: the intraoperative use of trabecular metal in revision total hip arthroplasty.,-1,0.0462927255290363,
85,15991141,2005,The Journal of arthroplasty,"Bone graft extenders, substitutes, and osteogenic proteins.",-1,0.0320650359254367,
86,16124954,2005,The Journal of arthroplasty,In vivo wear and migration of highly cross-linked polyethylene cups a radiostereometry analysis study.,16,0.1953118354791004,Implant Retrieval and Corrosion Analysis
87,16124955,2005,The Journal of arthroplasty,Reconstructed hip joint position and abductor muscle strength after total hip arthroplasty.,-1,0.0605650892367119,
88,16124956,2005,The Journal of arthroplasty,Simultaneous bilateral versus unilateral total hip arthroplasty an outcomes analysis.,25,1.0,Implant Survival Analysis and Competing Risk Methods
