topic_i,topic_j,label_i,label_j,cosine_raw,cosine_centered,cosine_ctfidf,keyword_jaccard
5,6,Periprosthetic Joint Infection Diagnosis and Treatment (Odds),Observational Study Design and Statistical Methods,0.995095431804657,0.6764248609542847,0.8655173917764654,0.48148148148148145
12,33,Ceramic-on-Ceramic Bearings and Fracture,Osteolysis and Implant Loosening,0.9983296394348145,0.8540432453155518,0.8521143158301503,0.6
20,40,Depression and Mental Health in Arthroplasty,KOOS and Knee-Specific PROMs (Expectations),0.9978165626525879,0.8420385718345642,0.8316993945939927,0.6
10,14,Aseptic Loosening of Hip and Knee Implants,THA Survivorship and Long-Term Aseptic Loosening,0.9934155344963074,-0.17798490822315216,0.8269952431995026,0.48148148148148145
12,70,Ceramic-on-Ceramic Bearings and Fracture,Femoral Stem Survival and Aseptic Loosening,0.9979183673858643,0.8236989378929138,0.8261599784733723,0.5384615384615384
10,25,Aseptic Loosening of Hip and Knee Implants,Implant Survival Analysis and Competing Risk Methods,0.9983221292495728,0.8644046783447266,0.8208915740031989,0.48148148148148145
5,60,Periprosthetic Joint Infection Diagnosis and Treatment (Odds),Bariatric Surgery Prior to Joint Arthroplasty,0.9976015090942383,0.8953849077224731,0.8193108439355634,0.2903225806451613
14,46,THA Survivorship and Long-Term Aseptic Loosening,Radiographic Implant Survival and Loosening Assessment,0.9965540766716003,0.28642433881759644,0.8175276632858117,0.6666666666666666
10,46,Aseptic Loosening of Hip and Knee Implants,Radiographic Implant Survival and Loosening Assessment,0.9983938932418823,0.6888418197631836,0.8072450164094833,0.48148148148148145
12,57,Ceramic-on-Ceramic Bearings and Fracture,Ceramic Components and Periprosthetic Osteolysis,0.9922129511833191,0.2970119118690491,0.8041149934939193,0.5384615384615384
2,12,Primary Total Hip Arthroplasty Technique and Outcomes,Ceramic-on-Ceramic Bearings and Fracture,0.9940823912620544,0.39949631690979004,0.7985400146619799,0.48148148148148145
33,57,Osteolysis and Implant Loosening,Ceramic Components and Periprosthetic Osteolysis,0.9970062971115112,0.6937383413314819,0.7929025251457974,0.6666666666666666
12,14,Ceramic-on-Ceramic Bearings and Fracture,THA Survivorship and Long-Term Aseptic Loosening,0.9908783435821533,-0.03614231199026108,0.7919893236236258,0.48148148148148145
14,70,THA Survivorship and Long-Term Aseptic Loosening,Femoral Stem Survival and Aseptic Loosening,0.9957661032676697,0.24271447956562042,0.7826957145593084,0.5384615384615384
2,33,Primary Total Hip Arthroplasty Technique and Outcomes,Osteolysis and Implant Loosening,0.9973655939102173,0.6937631964683533,0.7805906736422464,0.48148148148148145
14,55,THA Survivorship and Long-Term Aseptic Loosening,Cementless Stem Subsidence and Early Fixation,0.9975619316101074,0.4319964349269867,0.7775010751092922,0.6
46,70,Radiographic Implant Survival and Loosening Assessment,Femoral Stem Survival and Aseptic Loosening,0.9989528656005859,0.8015956878662109,0.7769938951728911,0.48148148148148145
35,43,Registry-Based Revision Risk and Implant Survivorship,National Joint Replacement Registry Studies,0.9976673126220703,0.6534686088562012,0.7721652692373333,0.3333333333333333
2,14,Primary Total Hip Arthroplasty Technique and Outcomes,THA Survivorship and Long-Term Aseptic Loosening,0.9980955123901367,0.6947060823440552,0.7685976565905691,0.42857142857142855
19,30,"Patellar Resurfacing, PCL Management, and Knee Design",Unicompartmental Knee Arthroplasty Functional Outcomes,0.9961512088775635,0.2659728527069092,0.767333294053519,0.3793103448275862
15,27,Medicare Reimbursement and Bundled Payments,Medicare Reimbursement and Bundled Payments (Costs),0.9982597231864929,0.7535805702209473,0.7658849770558097,0.42857142857142855
6,60,Observational Study Design and Statistical Methods,Bariatric Surgery Prior to Joint Arthroplasty,0.9985684156417847,0.8178550004959106,0.758893484922334,0.42857142857142855
14,33,THA Survivorship and Long-Term Aseptic Loosening,Osteolysis and Implant Loosening,0.9949865341186523,0.3515781760215759,0.7588122047690948,0.3793103448275862
12,46,Ceramic-on-Ceramic Bearings and Fracture,Radiographic Implant Survival and Loosening Assessment,0.9967390298843384,0.6915636658668518,0.7563388708020842,0.42857142857142855
19,42,"Patellar Resurfacing, PCL Management, and Knee Design",Lower Extremity Deformity and Ligament Reconstruction,0.9978727102279663,0.4876691401004791,0.7548085992541685,0.2903225806451613
4,40,KOOS and Knee-Specific PROMs,KOOS and Knee-Specific PROMs (Expectations),0.9967528581619263,0.47259634733200073,0.7519456458164228,0.3333333333333333
